meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Beijing 2008,21.67,16/08/2008,Men 50 Freestyle LCM Male,RSA,South Africa,"SCHOEMAN, Roland",M,03/07/1980,,,38,39,975,Beijing,CHN
22nd Commonwealth Games 2022,21.68,03/08/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12/02/2000,,,40,40,897,Birmingham,GBR
The National Games,21.68,26/09/2021,Men 50 Freestyle LCM Male,CHN,People's Republic of China,"YU, Hexin",M,01/01/1996,,,40,41,897,Xian,CHN
Russian National Championships (50m),21.69,27/04/2022,Men 50 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,42,42,895,Kazan,RUS
13th FINA World Championships 2009,21.69,31/07/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,42,43,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,21.70,28/07/2023,Men 50 Freestyle LCM Male,UKR,Ukraine,"BUKHOV, Vladyslav",M,05/07/2002,,,44,44,894,Fukuoka,JPN
19th FINA World Championships Budapest 2022,21.70,23/06/2022,Men 50 Freestyle LCM Male,ITA,Italy,"ZAZZERI, Lorenzo",M,09/08/1994,,,44,45,894,Budapest,HUN
European Championships 2018,21.70,08/08/2018,Men 50 Freestyle LCM Male,LTU,Lithuania,"BILIS, Simonas",M,11/11/1993,,,44,46,894,Glasgow,GBR
US National Championships (50m),21.70,06/08/2017,Men 50 Freestyle LCM Male,RSA,South Africa,"TANDY, Bradley",M,02/05/1991,,,44,47,894,East Meadow,USA
58th International Trophy Sette Colli,21.71,26/06/2021,Men 50 Freestyle LCM Male,SWE,Sweden,"SEELIGER, Bjoern",M,11/01/2000,,,48,48,893,Rome,ITA
19th Asian Games 2023,21.72,25/09/2023,Men 50 Freestyle LCM Male,KOR,Republic of Korea,"JI, Yuchan",M,24/08/2002,,,49,49,892,Hangzhou,CHN
13th FINA World Championships 2009,21.72,31/07/2009,Men 50 Freestyle LCM Male,RSA,South Africa,"MOORE, Graeme",M,28/01/1989,,,49,50,,Rome,ITA
13th FINA World Championships 2009,21.72,31/07/2009,Men 50 Freestyle LCM Male,POL,Poland,"CZERNIAK, Konrad",M,11/07/1989,,,49,51,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,21.73,29/07/2023,Men 50 Freestyle LCM Male,CAY,Cayman Islands,"CROOKS, Jordan",M,02/05/2002,,,52,52,891,Fukuoka,JPN
13th FINA World Championships 2009,21.73,31/07/2009,Men 50 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21/10/1983,,,52,53,,Rome,ITA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2022,21.74,25/05/2022,Men 50 Freestyle LCM Male,EST,Estonia,"ZIRK, Kregor",M,03/07/1999,,,54,54,889,Barcelona,ESP
Russian National Championships (50m),21.74,14/04/2017,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SEDOV, Evgeny",M,29/01/1996,,,54,55,889,Moscow,RUS
13th FINA World Championships 2009,21.74,31/07/2009,Men 50 Freestyle LCM Male,AUS,Australia,"ABOOD, Matthew",M,28/06/1986,,,54,56,,Rome,ITA
European Championships 2010,21.75,14/08/2010,Men 50 Freestyle LCM Male,FRA,France,"GILOT, Fabien",M,27/04/1984,,,57,57,892,Budapest,HUN
TYR Pro Swim Series Mission Viejo 2022,21.76,04/06/2022,Men 50 Freestyle LCM Male,USA,United States of America,"CURTISS, David",M,04/07/2002,,,58,58,887,Mission Viejo,USA
Hungarian National Championships (50m),21.77,08/12/2020,Men 50 Freestyle LCM Male,HUN,Hungary,"LOBANOVSKIJ, Maxim",M,18/01/1996,,,59,59,886,Kaposvar,HUN
US Olympic Team Trials - Wave II,21.78,20/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"BECKER, Bowen",M,07/07/1997,,,60,60,884,Omaha,USA
US Olympic Team Trials,21.78,25/06/2012,Men 50 Freestyle LCM Male,USA,United States of America,"SCHNEIDER, Josh",M,11/01/1988,,,60,61,884,Omaha,USA
Phillips 66 National Championships (50m),21.80,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"KING, Matt",M,19/02/2002,,,62,62,882,Indianapolis,USA
TYR Pro Championships 2023,21.81,27/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"NOWAKOWSKI, Thomas",M,02/02/2001,,,63,63,881,Irvine,USA
Eindhoven Qualification Meet 2023,21.81,09/04/2023,Men 50 Freestyle LCM Male,NED,Netherlands,"SIMONS, Kenzo",M,13/04/2001,,,63,64,881,Eindhoven,NED
USA Winter National Championships (50m),21.81,05/12/2019,Men 50 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,23/04/1997,,,63,65,881,Atlanta,USA
German National Championships (50m),21.81,08/05/2016,Men 50 Freestyle LCM Male,GER,Germany,"WIERLING, Damian",M,13/02/1996,,,63,66,881,Berlin,GER
US Sprint,21.81,24/03/1990,Men 50 Freestyle LCM Male,USA,United States of America,"JAGER, Tom",M,06/10/1964,,,63,67,,Nashville,USA
4th Arab Open Swimming Championships 2018,21.82,14/07/2018,Men 50 Freestyle LCM Male,ALG,Algeria,"SAHNOUNE, Oussama",M,02/08/1992,,,68,68,880,Rades,TUN
Trofeu Brazil - Maria Lenk,21.82,21/04/2018,Men 50 Freestyle LCM Male,BRA,Brazil,"SPAJARI, Pedro",M,18/02/1997,,,68,69,880,Rio de Janeiro,BRA
Amsterdam Swim Meet,21.82,17/12/2016,Men 50 Freestyle LCM Male,NED,Netherlands,"PUTS, Jesse",M,01/08/1994,,,68,70,880,Amsterdam,NED
Maria Lenk Trophy - Test Event,21.82,20/04/2016,Men 50 Freestyle LCM Male,BRA,Brazil,"AMARAL DUARTE GAROFALO, Italo",M,13/03/1992,,,68,71,880,Rio de Janeiro,BRA
Russian National Championships (50m),21.82,17/04/2012,Men 50 Freestyle LCM Male,RUS,Russian Federation,"GRECHIN, Andrey",M,21/10/1987,,,68,72,880,Moscow,RUS
European U23 Swimming Championships,21.83,12/08/2023,Men 50 Freestyle LCM Male,GRE,Greece,"BILAS, Stergios Marios",M,21/11/2001,,,73,73,878,Dublin,IRL
European Junior Swimming Championships 2019,21.83,07/07/2019,Men 50 Freestyle LCM Male,GER,Germany,"SELIN, Artem",M,21/05/2002,,,73,74,878,Kazan,RUS
Olympic Games Rio 2016,21.83,11/08/2016,Men 50 Freestyle LCM Male,CAN,Canada,"CONDORELLI, Santo",M,17/01/1995,,,73,75,878,Rio de Janeiro,BRA
19th Maccabiah Games,21.83,21/07/2013,Men 50 Freestyle LCM Male,USA,United States of America,"WEBER-GALE, Garrett",M,06/08/1985,,,73,76,878,Netanya,ISR
Israel Swimming Cup 2023,21.84,22/04/2023,Men 50 Freestyle LCM Male,ISR,Israel,"CHERUTI, Meiron Amir",M,19/10/1997,,,77,77,877,Netanya,ISR
Phillips 66 International Team Trials 2022,21.84,30/04/2022,Men 50 Freestyle LCM Male,USA,United States of America,"CURRY, Brooks",M,22/01/2001,,,77,78,877,Greensboro,USA
Olympic Games Rio 2016,21.84,11/08/2016,Men 50 Freestyle LCM Male,ITA,Italy,"DOTTO, Luca",M,18/04/1990,,,77,79,877,Rio de Janeiro,BRA
15th FINA World Championships 2013,21.84,02/08/2013,Men 50 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,15/01/1991,,,77,80,877,Barcelona,ESP
Russian National Championships (50m),21.85,27/04/2022,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MARKOV, Daniil",M,21/04/2000,,,81,81,876,Kazan,RUS
66th Festival of Sport - Swimming Trial 2023 (50m),21.86,16/04/2023,Men 50 Freestyle LCM Male,HKG,"Hong Kong, China","HO, Ian Yentou",M,25/04/1997,,,82,82,875,Hong Kong,HKG
European Championships 2021,21.86,22/05/2021,Men 50 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,82,83,875,Budapest,HUN
Phillips 66 National Championships (50m),21.87,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"KULOW, Jonny",M,11/08/2004,,,84,84,874,Indianapolis,USA
24th Central American and Caribbean Games 2023,21.87,29/06/2023,Men 50 Freestyle LCM Male,TTO,Trinidad and Tobago,"CARTER, Dylan",M,30/01/1996,,,84,85,874,San Salvador,ESA
Portuguese National Championships (50m),21.87,30/03/2023,Men 50 Freestyle LCM Male,POR,Portugal,"MATOS RIBEIRO, Diogo",M,27/10/2004,,,84,86,874,Funchal,POR
Campeonato Brasileiro Junior de Verao,21.87,10/12/2022,Men 50 Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,84,87,874,Rio de Janeiro,BRA
2018 Kirara Cup,21.87,11/02/2018,Men 50 Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,84,88,874,,JPN
Eindhoven Qualification Meet 2023,21.88,09/04/2023,Men 50 Freestyle LCM Male,SUR,Suriname,"TJON-A-JOE, Renzo",M,08/07/1995,,,89,89,872,Eindhoven,NED
US National Championships (50m),21.88,25/06/2013,Men 50 Freestyle LCM Male,USA,United States of America,"FEIGEN, Jimmy",M,26/09/1989,,,89,90,872,Indianapolis,USA
European Championships 2006,21.88,06/08/2006,Men 50 Freestyle LCM Male,POL,Poland,"KIZIEROWSKI, Bartosz",M,20/02/1977,,,89,91,,Budapest,HUN
13th FINA World Championships 2009,21.89,31/07/2009,Men 50 Freestyle LCM Male,KEN,Kenya,"DUNFORD, David",M,29/09/1988,,,92,92,,Rome,ITA
32nd Southeast Asian Games 2023,21.91,07/05/2023,Men 50 Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,93,93,869,Phnom Penh,CAM
Portuguese National Championships (50m),21.91,02/04/2023,Men 50 Freestyle LCM Male,POR,Portugal,"NASCIMENTO, Miguel",M,19/01/1995,,,93,94,869,Funchal,POR
US Olympic Team Trials - Wave II,21.91,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,93,95,869,Omaha,USA
French National Championships (50m),21.91,11/12/2020,Men 50 Freestyle LCM Male,FRA,France,"MIGNON, Clement",M,21/01/1993,,,93,96,869,St-Raphael,FRA
Polish National Championships (50m),21.91,24/05/2018,Men 50 Freestyle LCM Male,POL,Poland,"SENDYK, Pawel",M,24/05/1997,,,93,97,869,Lodz,POL
Hancock Prospecting Australian,21.91,09/04/2017,Men 50 Freestyle LCM Male,AUS,Australia,"ROBERTS, James",M,11/04/1991,,,93,98,869,Brisbane,AUS
Chinese National Championships (50m),21.91,09/09/2013,Men 50 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,06/03/1993,,,93,99,869,Shenyang ,CHN
19th Asian Games 2023,21.92,25/09/2023,Men 50 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,100,100,868,Hangzhou,CHN
British Gas National Championships (50m),21.92,26/06/2013,Men 50 Freestyle LCM Male,GBR,Great Britain,"BROWN, Adam",M,16/01/1989,,,100,101,868,Sheffield,GBR
2013 EnergyAustralia Swimming,21.92,26/04/2013,Men 50 Freestyle LCM Male,AUS,Australia,"TARGETT, Matthew",M,24/12/1985,,,100,102,868,Adelaide,AUS
Olympic Games London 2012,21.92,02/08/2012,Men 50 Freestyle LCM Male,RSA,South Africa,"LOUW, Gideon",M,09/04/1987,,,100,103,868,London,GBR
ISCA Open 2023,21.93,30/11/2023,Men 50 Freestyle LCM Male,ARU,Aruba,"SCHREUDERS, Mikel",M,21/09/1998,,,104,104,866,Lynchburg,USA
31st Southeast Asian Games 2022,21.93,19/05/2022,Men 50 Freestyle LCM Male,SGP,Singapore,"TEONG, Tzen Wei",M,17/10/1997,,,104,105,866,Hanoi,VIE
Bahamas National Championships (50m),21.93,27/06/2021,Men 50 Freestyle LCM Male,VEN,Venezuela,"MESTRE, Alberto",M,10/02/1999,,,104,106,866,Nassau,BAH
FINA Swimming World Cup 2019,21.93,11/10/2019,Men 50 Freestyle LCM Male,JPN,Japan,"MATSUI, Kosuke",M,28/03/1994,,,104,107,866,Berlin,GER
Olympic Games Athens 2004,21.93,20/08/2004,Men 50 Freestyle LCM Male,USA,United States of America,"HALL, Gary Jr.",M,26/09/1974,,,104,108,,Athens,GRE
ISCA Open 2023,21.94,29/11/2023,Men 50 Freestyle LCM Male,USA,United States of America,"MCCARTY, Quintin",M,29/11/2003,,,109,109,865,Lynchburg,USA
World Aquatics Championships - Fukuoka 2023,21.94,28/07/2023,Men 50 Freestyle LCM Male,NOR,Norway,"LIA, Nicholas",M,13/02/2001,,,109,110,865,Fukuoka,JPN
Irish Open Championships 2023,21.95,02/04/2023,Men 50 Freestyle LCM Male,IRL,Ireland,"FANNON, Thomas",M,20/05/1998,,,111,111,864,Dublin,IRL
Golden Bear 2021,21.95,27/06/2021,Men 50 Freestyle LCM Male,CRO,Croatia,"MILJENIC, Nikola",M,19/05/1998,,,111,112,864,Zagreb,CRO
18th Pan American Games 2019,21.95,09/08/2019,Men 50 Freestyle LCM Male,USA,United States of America,"CHADWICK, Michael",M,15/04/1995,,,111,113,864,Lima,PER
Phillips 66 National Championships (50m),21.96,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"GUILIANO, Chris",M,25/06/2003,,,114,114,863,Indianapolis,USA
Olympic Games Beijing 2008,21.96,14/08/2008,Men 50 Freestyle LCM Male,GER,Germany,"EL MASRI, Rafed",M,10/08/1982,,,114,115,937,Beijing,CHN
30th Summer Universiade 2019,21.97,10/07/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"CUMBERLIDGE, David",M,16/07/1996,,,116,116,862,Napoli,ITA
18th Mediterranean Games 2018,21.97,25/06/2018,Men 50 Freestyle LCM Male,EGY,Egypt,"KHALAFALLA, Ali",M,13/05/1996,,,116,117,862,Tarragona,ESP
European Championships 2006,21.97,06/08/2006,Men 50 Freestyle LCM Male,UKR,Ukraine,"VOLYNETS, Oleksandr",M,09/10/1974,,,116,118,,Budapest,HUN
British National Championships (50m),21.98,08/04/2023,Men 50 Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,119,119,860,Sheffield,GBR
Rotterdam Qualification Meet 2020,21.98,03/12/2020,Men 50 Freestyle LCM Male,NED,Netherlands,"KORSTANJE, Nyls",M,05/02/1999,,,119,120,860,Rotterdam,NED
15th FINA World Championships 2013,21.98,02/08/2013,Men 50 Freestyle LCM Male,ROU,Romania,"TRANDAFIR, Norbert",M,08/02/1988,,,119,121,860,Barcelona,ESP
Open Dutch Championships,21.98,02/12/2011,Men 50 Freestyle LCM Male,RUS,Russian Federation,"FESIKOV, Sergei",M,21/01/1989,,,119,122,860,Eindhoven,NED
European Championships 2010,21.99,14/08/2010,Men 50 Freestyle LCM Male,GER,Germany,"DEIBLER, Steffen",M,10/07/1987,,,123,123,863,Budapest,HUN
16th Gyor Open,22.00,16/12/2023,Men 50 Freestyle LCM Male,CLB,Club,"MILJENIC, Nikola",M,01/01/1998,,,124,124,858,Gyor,HUN
Phillips 66 International Team Trials 2022,22.00,30/04/2022,Men 50 Freestyle LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,124,125,858,Greensboro,USA
Brazil Trophy 2022,22.00,09/04/2022,Men 50 Freestyle LCM Male,BRA,Brazil,"BORGES, Luiz Gustavo",M,21/05/1999,,,124,126,858,Rio de Janeiro,BRA
US Olympic Team Trials - Wave II,22.00,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"CHANEY, Adam",M,27/03/2002,,,124,127,858,Omaha,USA
Philipps 66 USA National Championships (50m),22.00,04/08/2019,Men 50 Freestyle LCM Male,USA,United States of America,"HOWARD, Robert",M,08/07/1996,,,124,128,858,Palo Alto,USA
Russian National Swimming Cup Final,22.01,28/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"KORNEV, Egor",M,06/02/2004,,,129,129,857,kazan,RUS
Chinese Spring National Championships (50m),22.01,02/05/2023,Men 50 Freestyle LCM Male,CHN,People's Republic of China,"WANG, Changhao",M,01/08/2002,,,129,130,857,Hangzhou,CHN
CA TYR/MVN Fran Crippen M2021 - Time Trial,22.01,26/06/2021,Men 50 Freestyle LCM Male,MEX,Mexico,"CASTANO GARCIA, Gabriel",M,01/11/1997,,,129,131,857,Mission Viejo,USA
Russian National Championships (50m),22.01,09/04/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SHEVCHENKO, Ilya",M,26/06/2001,,,129,132,857,Kazan,RUS
II Winter Italian Championships,22.01,19/12/2012,Men 50 Freestyle LCM Male,ITA,Italy,"BOCCHIA, Federico",M,24/10/1986,,,129,133,857,Riccione,ITA
Japan National Championships (50m),22.02,10/04/2021,Men 50 Freestyle LCM Male,JPN,Japan,"NAMBA, Akira",M,23/04/1996,,,134,134,856,Tokyo,JPN
13th Pan Pacific Championships 2018,22.02,12/08/2018,Men 50 Freestyle LCM Male,CAN,Canada,"KISIL, Yuri",M,18/09/1995,,,134,135,856,Tokyo,JPN
Russian National Championships (50m),22.03,09/04/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,136,136,855,Kazan,RUS
Japan National Championships 2020 (50m),22.03,07/02/2021,Men 50 Freestyle LCM Male,JPN,Japan,"SAKAI, Koushirou",M,27/10/1996,,,136,137,855,Tokyo,JPN
FINA Swimming World Cup 2019,22.03,02/08/2019,Men 50 Freestyle LCM Male,USA,United States of America,"PIERONI, Blake",M,15/11/1995,,,136,138,855,Tokyo,JPN
US National Championships (50m),22.03,29/07/2018,Men 50 Freestyle LCM Male,USA,United States of America,"JENSEN, Michael",M,11/12/1997,,,136,139,855,Irvine,USA
Japan Swim 2017,22.03,16/04/2017,Men 50 Freestyle LCM Male,JPN,Japan,"NAKAO, Shunichi",M,23/11/1995,,,136,140,855,Aichi,JPN
Olympic Games Sydney 2000,22.03,22/09/2000,Men 50 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14/03/1978,,,136,141,,Sydney,AUS
World Aquatics Swimming World Cup 2023,22.04,06/10/2023,Men 50 Freestyle LCM Male,NED,Netherlands,"PIJNENBURG, Stan",M,04/11/1996,,,142,142,853,Berlin,GER
Brazilian Olympic Trials,22.04,24/04/2021,Men 50 Freestyle LCM Male,BRA,Brazil,"ALCARA, Victor",M,28/09/2000,,,142,143,853,Rio de Janeiro,BRA
2013 EnergyAustralia Swimming,22.04,26/04/2013,Men 50 Freestyle LCM Male,AUS,Australia,"ABOOD, Andrew",M,27/04/1990,,,142,144,853,Adelaide,AUS
Spanish National Championships (50m),22.04,24/07/2009,Men 50 Freestyle LCM Male,ESP,Spain,"NORIEGA, Javier",M,23/07/1980,,,142,145,,Las Palmas,ESP
TYR Pro Championships 2023,22.05,27/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"GORMAN, Jezze",M,25/08/2000,,,146,146,852,Irvine,USA
European Championships 2021,22.05,22/05/2021,Men 50 Freestyle LCM Male,AUT,Austria,"GIGLER, Heiko",M,17/06/1996,,,146,147,852,Budapest,HUN
Italian Open Swimming Championships (50m),22.05,17/12/2020,Men 50 Freestyle LCM Male,ITA,Italy,"BORI, Alessandro",M,05/02/1997,,,146,148,852,Riccione,ITA
Open Communidad de Madrid,22.05,28/02/2020,Men 50 Freestyle LCM Male,CLB,Club,"ARRUABARRENA MAYOR, Unai",M,10/07/2001,,,146,149,852,Madrid,ESP
Campionato Italiano di Categoria,22.05,01/08/2017,Men 50 Freestyle LCM Male,ITA,Italy,"IZZO, Giovanni",M,01/01/1998,,,146,150,852,Rome,ITA
88th Inter College Swimming Championships,22.05,07/09/2012,Men 50 Freestyle LCM Male,JPN,Japan,"ITO, Kenta",M,26/10/1990,,,146,151,852,Tokyo,JPN
Hungarian National Championships (50m),22.06,20/04/2023,Men 50 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,152,152,851,Kaposvar,HUN
Polish National Championships (50m),22.06,28/04/2021,Men 50 Freestyle LCM Male,POL,Poland,"OSTROWSKI, Karol",M,02/09/1999,,,152,153,851,Lublin,POL
European Championships 2018,22.06,08/08/2018,Men 50 Freestyle LCM Male,CRO,Croatia,"BLASKOVIC, Bruno",M,02/08/1998,,,152,154,851,Glasgow,GBR
US Olympic Team Trials - Swimming,22.06,01/07/2016,Men 50 Freestyle LCM Male,USA,United States of America,"VIRVA, Dillon Randall",M,27/12/1993,,,152,155,851,Omaha,USA
Danish National Championships (50m),22.06,12/04/2009,Men 50 Freestyle LCM Male,SUI,Switzerland,"LANG, Flori",M,30/01/1983,,,152,156,,Esbjerg,DEN
